id,Name,Include,Level,Flood Protection Return Period,Storeys Above Ground,Model,Country,Function type,Category group,Subcategory,Secondary Subcategory,Tertiary Subcategory,Description of category by source,Method,Scale,Notes
63,MCM: Car showroom,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Commercial,,,,Expert calculation,Micro,
64,MCM: Car showroom,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Commercial,,,,Expert calculation,Micro,
65,MCM: Car showroom,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Commercial,,,,Expert calculation,Micro,
66,MCM: Car showroom,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Commercial,,,,Expert calculation,Micro,
67,MCM: Car showroom,TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Commercial,,,,Expert calculation,Micro,
68,MCM: Car showroom,TRUE,High,0,,MCM,United Kingdom,Content,Employment,Commercial,,,,Expert calculation,Micro,
69,MCM: Plant Hire,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Industrial,,,,Expert calculation,Micro,
70,MCM: Plant Hire,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Industrial,,,,Expert calculation,Micro,
71,MCM: Plant Hire,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Industrial,,,,Expert calculation,Micro,
72,MCM: Plant Hire,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Industrial,,,,Expert calculation,Micro,
73,MCM: Plant Hire,TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Industrial,,,,Expert calculation,Micro,
74,MCM: Plant Hire,TRUE,High,0,,MCM,United Kingdom,Content,Employment,Industrial,,,,Expert calculation,Micro,
75,MCM: Hair Salon,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Commercial,,,,Expert calculation,Micro,
76,MCM: Hair Salon,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Commercial,,,,Expert calculation,Micro,
77,MCM: Public House/ club,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Office,Social Infrastructure,,,Expert calculation,Micro,
78,MCM: Public House/ club,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Office,Social Infrastructure,,,Expert calculation,Micro,
79,MCM: Public House/ club,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Office,Social Infrastructure,,,Expert calculation,Micro,
80,MCM: Public House/ club,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Office,Social Infrastructure,,,Expert calculation,Micro,
81,MCM: Public House/ club,TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Office,Social Infrastructure,,,Expert calculation,Micro,
82,MCM: Public House/ club,TRUE,High,0,,MCM,United Kingdom,Content,Employment,Office,Social Infrastructure,,,Expert calculation,Micro,
83,MCM: Restaurant,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Commercial,Horeca,,,Expert calculation,Micro,
84,MCM: Restaurant,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Commercial,Horeca,,,Expert calculation,Micro,
85,MCM: Restaurant,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Commercial,Horeca,,,Expert calculation,Micro,
86,MCM: Restaurant,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Commercial,Horeca,,,Expert calculation,Micro,
87,MCM: Restaurant,TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Commercial,Horeca,,,Expert calculation,Micro,
88,MCM: Restaurant,TRUE,High,0,,MCM,United Kingdom,Content,Employment,Commercial,Horeca,,,Expert calculation,Micro,
89,"MCM: Cafe, fast food",TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Commercial,Horeca,,,Expert calculation,Micro,
90,"MCM: Cafe, fast food",TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Commercial,Horeca,,,Expert calculation,Micro,
91,"MCM: Cafe, fast food",TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Commercial,Horeca,,,Expert calculation,Micro,
92,"MCM: Cafe, fast food",TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Commercial,Horeca,,,Expert calculation,Micro,
93,"MCM: Cafe, fast food",TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Commercial,Horeca,,,Expert calculation,Micro,
94,"MCM: Cafe, fast food",TRUE,High,0,,MCM,United Kingdom,Content,Employment,Commercial,Horeca,,,Expert calculation,Micro,
95,MCM: Garden Centre,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Commercial,,,,Expert calculation,Micro,
96,MCM: Garden Centre,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Commercial,,,,Expert calculation,Micro,
97,"MCM: Office, non specific",TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Office,,,,Expert calculation,Micro,
98,"MCM: Office, non specific",TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Office,,,,Expert calculation,Micro,
99,"MCM: Office, non specific",TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Office,,,,Expert calculation,Micro,
100,"MCM: Office, non specific",TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Office,,,,Expert calculation,Micro,
101,"MCM: Office, non specific",TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Office,,,,Expert calculation,Micro,
102,"MCM: Office, non specific",TRUE,High,0,,MCM,United Kingdom,Content,Employment,Office,,,,Expert calculation,Micro,
103,MCM: High tech office,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Office,,,,Expert calculation,Micro,
104,MCM: High tech office,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Office,,,,Expert calculation,Micro,
105,MCM: High tech office,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Office,,,,Expert calculation,Micro,
106,MCM: High tech office,TRUE,Average,0,,MCM,United Kingdom,Content,Employment,Office,,,,Expert calculation,Micro,
107,MCM: High tech office,TRUE,Low,0,,MCM,United Kingdom,Content,Employment,Office,,,,Expert calculation,Micro,
108,MCM: High tech office,TRUE,High,0,,MCM,United Kingdom,Content,Employment,Office,,,,Expert calculation,Micro,
