id,Name,Include,Level,Flood Protection Return Period,Storeys Above Ground,Model,Country,Function type,Category group,Subcategory,Secondary Subcategory,Tertiary Subcategory,Description of category by source,Method,Scale,Notes
390,Average all companies (with HIS-SSM),TRUE,Average,0,,Custom,Multiple,Combined,Employment,Generic,,,,Expert calculation,,
391,Kantoorfunctie,TRUE,Average,0,,FIAT,Netherlands,Combined,Employment,Office,,,,Expert calculation,,
392,Winkelfunctie,TRUE,Average,0,,FIAT,Netherlands,Combined,Employment,Commercial,,,,Expert calculation,,
393,Industriefunctie,TRUE,Average,0,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Expert calculation,,
394,HIS-SSM: Family houses,TRUE,Average,0,,HIS-SSM,Netherlands,Combined,Residential,Single-family,,,,Combination,,
395,FIAT: apartment,TRUE,Average,0,1,FIAT,Netherlands,Combined,Residential,Apartments,,,no damage before 2.5m water levels,Combination,,Renamed and grouped
396,FIAT: higher floor apartment,TRUE,Average,0,2+,FIAT,Netherlands,Combined,Residential,Apartments,,,no damage before 5m water levels,Combination,,Renamed and grouped
397,SSM2015:1/10 y - Single Family,TRUE,Average,10,,FIAT,Netherlands,Structure,Residential,Single-family,Semi-detached;Terraced,,"bungalow, cottage, semi-detached, terraced house, town house, villa, trailers, unknown (""Daarom werd besloten om de categorie eengezinswoningen te definiëren als
alle gebouwen waaraan (volgens de BAG data) slechts één adres gekoppeld is. Vanaf
SSM2015 wordt er dus geen onderscheid meer gemaakt tussen verschillende typen
eengezinswoningen"")",Combination,Micro,
398,SSM2015:1/10 y - Single Family,TRUE,Average,10,,FIAT,Netherlands,Content,Residential,Single-family,Semi-detached;Terraced,,"bungalow, cottage, semi-detached, terraced house, town house, villa, trailers, unknown (""Daarom werd besloten om de categorie eengezinswoningen te definiëren als
alle gebouwen waaraan (volgens de BAG data) slechts één adres gekoppeld is. Vanaf
SSM2015 wordt er dus geen onderscheid meer gemaakt tussen verschillende typen
eengezinswoningen"")",Combination,Micro,
399,SSM2015:1/50 y - Single Family,TRUE,Average,50,,FIAT,Netherlands,Structure,Residential,Single-family,Semi-detached;Terraced,,"bungalow, cottage, semi-detached, terraced house, town house, villa, trailers, unknown (""Daarom werd besloten om de categorie eengezinswoningen te definiëren als
alle gebouwen waaraan (volgens de BAG data) slechts één adres gekoppeld is. Vanaf
SSM2015 wordt er dus geen onderscheid meer gemaakt tussen verschillende typen
eengezinswoningen"")",Combination,Micro,
400,SSM2015:1/50 y - Single Family,TRUE,Average,50,,FIAT,Netherlands,Content,Residential,Single-family,Semi-detached;Terraced,,"bungalow, cottage, semi-detached, terraced house, town house, villa, trailers, unknown (""Daarom werd besloten om de categorie eengezinswoningen te definiëren als
alle gebouwen waaraan (volgens de BAG data) slechts één adres gekoppeld is. Vanaf
SSM2015 wordt er dus geen onderscheid meer gemaakt tussen verschillende typen
eengezinswoningen"")",Combination,Micro,
401,SSM2015:1/10 y - Low Rise Building,TRUE,Average,10,,FIAT,Netherlands,Structure,Residential,Terraced,,,"maisonette, residential space above shops",Combination,Micro,
402,SSM2015:1/10 y - Low Rise Building,TRUE,Average,10,,FIAT,Netherlands,Content,Residential,Terraced,,,"maisonette, residential space above shops",Combination,Micro,
403,SSM2015:1/50 y - Low Rise Building,TRUE,Average,50,,FIAT,Netherlands,Structure,Residential,Terraced,,,"maisonette, residential space above shops",Combination,Micro,
404,SSM2015:1/50 y - Low Rise Building,TRUE,Average,50,,FIAT,Netherlands,Content,Residential,Terraced,,,"maisonette, residential space above shops",Combination,Micro,
405,Average all housing content,TRUE,Average,0,,Custom,Multiple,Content,Residential,Generic,,,,Combination,Micro,
406,Average all housing structures,TRUE,Average,0,,Custom,Multiple,Structure,Residential,Generic,,,,Combination,Micro,
407,Tebodin: Food industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
408,Tebodin: Textile industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
409,Tebodin: Leather industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
410,Tebodin: Wood industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
411,Tebodin: Paper industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
412,Tebodin: Printing press (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
413,Tebodin: Oil industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
414,Tebodin: Chemical industry (bulk) (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
415,Tebodin: Chemical industry (fine) (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
416,Tebodin: Ruber and plastic products industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
417,Tebodin: building material industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
418,Tebodin: Basic metal industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
419,Tebodin: Metal product industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
420,Tebodin: Machine industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
421,Tebodin: Computer industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
422,Tebodin: Other electronical industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
423,Tebodin: Transport industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
424,Tebodin: Furniture industry (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
425,SSM2015: Office based companies (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Office,,,,Combination,Micro,
426,SSM2015: Store based companies (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Commercial,,,,Combination,Micro,
427,SSM2015: Industry (general) (buitendijks) - 25,TRUE,Average,25,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
428,Tebodin: Food industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
429,Tebodin: Textile industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
430,Tebodin: Leather industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
431,Tebodin: Wood industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
432,Tebodin: Paper industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
433,Tebodin: Printing press (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
434,Tebodin: Oil industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
435,Tebodin: Chemical industry (bulk) (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
436,Tebodin: Chemical industry (fine) (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
437,Tebodin: Ruber and plastic products industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
438,Tebodin: building material industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
439,Tebodin: Basic metal industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
440,Tebodin: Metal product industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
441,Tebodin: Machine industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
442,Tebodin: Computer industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
443,Tebodin: Other electronical industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
444,Tebodin: Transport industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
445,Tebodin: Furniture industry (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
446,SSM2015: Office based companies (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Office,,,,Combination,Micro,
447,SSM2015: Store based companies (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Commercial,,,,Combination,Micro,
448,SSM2015: Industry (general) (buitendijks) - 50,TRUE,Average,50,,FIAT,Netherlands,Combined,Employment,Industrial,,,,Combination,Micro,
449,Infrastructuur functie,TRUE,Average,0,,FIAT,Netherlands,Combined,Infrastructure,Generic,,,,Expert calculation,Micro,
450,Kwetsbare objecten functie,TRUE,Average,0,,FIAT,Netherlands,Combined,Other,,,,,Other,,
