Strategie,Verticale Evacuatie
Voorbereiding,2
TRAJECT_ID,p1,p2,p3,p4,p5
25-2,0.2,0,0.4,0.32,0.08
28-1,0.2,0,0.4,0.32,0.08
26-1,0.2,0,0.4,0.32,0.08
26-2,0.2,0,0.4,0.32,0.08
26-3,0.2,0,0.4,0.32,0.08
27-1,0.2,0,0.4,0.32,0.08
27-2,0.2,0,0.4,0.32,0.08
29-3,0.2,0,0.4,0.32,0.08
29-1,0.2,0,0.4,0.32,0.08
29-2,0.2,0,0.4,0.32,0.08
29-4,0.2,0,0.4,0.32,0.08
30-2,0.2,0,0.4,0.32,0.08
30-3,0.2,0,0.4,0.32,0.08
30-4,0.2,0,0.4,0.32,0.08
30-1,0.2,0,0.4,0.32,0.08
31-1,0.2,0,0.4,0.32,0.08
31-2,0.2,0,0.4,0.32,0.08
