column separator = ,
0.85, 0.2381, 0.2381
0.86, 0.2413, 0.2413
0.87, 0.2444, 0.2444
0.88, 0.2476, 0.2476
0.89, 0.2508, 0.2508
0.90, 0.2540, 0.2540
0.91, 0.2572, 0.2572
0.92, 0.2603, 0.2603
0.93, 0.2635, 0.2635
0.94, 0.2667, 0.2667
0.95, 0.2699, 0.2699
0.96, 0.2731, 0.2731
0.97, 0.2763, 0.2763
0.98, 0.2794, 0.2794
0.99, 0.2826, 0.2826
1.00, 0.2858, 0.2858
1.01, 0.2890, 0.2890
1.02, 0.2922, 0.2922
1.03, 0.2954, 0.2954
1.04, 0.2985, 0.2985
1.05, 0.3017, 0.3017
1.06, 0.3049, 0.3049
1.07, 0.3081, 0.3081
1.08, 0.3113, 0.3113
1.09, 0.3145, 0.3145
1.10, 0.3177, 0.3177
1.11, 0.3208, 0.3208
1.12, 0.3240, 0.3240
1.13, 0.3272, 0.3272
1.14, 0.3304, 0.3304
1.15, 0.3336, 0.3336
1.16, 0.3368, 0.3368
1.17, 0.3399, 0.3399
1.18, 0.3431, 0.3431
1.19, 0.3463, 0.3463
1.20, 0.3495, 0.3495
1.21, 0.3527, 0.3527
1.22, 0.3558, 0.3558
1.23, 0.3590, 0.3590
1.24, 0.3622, 0.3622
1.25, 0.3654, 0.3654
1.26, 0.3686, 0.3686
1.27, 0.3717, 0.3717
1.28, 0.3749, 0.3749
1.29, 0.3781, 0.3781
1.30, 0.3813, 0.3813
1.31, 0.3844, 0.3844
1.32, 0.3876, 0.3876
1.33, 0.3908, 0.3908
1.34, 0.3940, 0.3940
1.35, 0.3971, 0.3971
1.36, 0.4003, 0.4003
1.37, 0.4035, 0.4035
1.38, 0.4066, 0.4066
1.39, 0.4098, 0.4098
1.40, 0.4130, 0.4130
1.41, 0.4161, 0.4161
1.42, 0.4193, 0.4193
1.43, 0.4225, 0.4225
1.44, 0.4256, 0.4256
1.45, 0.4288, 0.4288
1.46, 0.4319, 0.4319
1.47, 0.4351, 0.4351
1.48, 0.4383, 0.4383
1.49, 0.4414, 0.4414
1.50, 0.4446, 0.4446
1.51, 0.4477, 0.4477
1.52, 0.4509, 0.4509
1.53, 0.4540, 0.4540
1.54, 0.4572, 0.4572
1.55, 0.4603, 0.4603
1.56, 0.4635, 0.4635
1.57, 0.4667, 0.4667
1.58, 0.4698, 0.4698
1.59, 0.4729, 0.4729
1.60, 0.4761, 0.4761
1.61, 0.4792, 0.4792
1.62, 0.4824, 0.4824
1.63, 0.4855, 0.4855
1.64, 0.4887, 0.4887
1.65, 0.4918, 0.4918
1.66, 0.4949, 0.4949
1.67, 0.4981, 0.4981
1.68, 0.5012, 0.5012
1.69, 0.5044, 0.5044
1.70, 0.5075, 0.5075
1.71, 0.5106, 0.5106
1.72, 0.5138, 0.5138
1.73, 0.5169, 0.5169
1.74, 0.5200, 0.5200
1.75, 0.5232, 0.5232
1.76, 0.5263, 0.5263
1.77, 0.5294, 0.5294
1.78, 0.5325, 0.5325
1.79, 0.5357, 0.5357
1.80, 0.5388, 0.5388
1.81, 0.5419, 0.5419
1.82, 0.5450, 0.5450
1.83, 0.5481, 0.5481
1.84, 0.5513, 0.5513
1.85, 0.5544, 0.5544
1.86, 0.5575, 0.5575
1.87, 0.5606, 0.5606
1.88, 0.5637, 0.5637
1.89, 0.5668, 0.5668
1.90, 0.5699, 0.5699
1.91, 0.5730, 0.5730
1.92, 0.5761, 0.5761
1.93, 0.5793, 0.5793
1.94, 0.5824, 0.5824
1.95, 0.5855, 0.5855
1.96, 0.5886, 0.5886
1.97, 0.5917, 0.5917
1.98, 0.5948, 0.5948
1.99, 0.5979, 0.5979
2.00, 0.6010, 0.6010
2.01, 0.6041, 0.6041
2.02, 0.6071, 0.6071
2.03, 0.6102, 0.6102
2.04, 0.6133, 0.6133
2.05, 0.6164, 0.6164
2.06, 0.6195, 0.6195
2.07, 0.6226, 0.6226
2.08, 0.6257, 0.6257
2.09, 0.6288, 0.6288
2.10, 0.6318, 0.6318
2.11, 0.6349, 0.6349
2.12, 0.6380, 0.6380
2.13, 0.6411, 0.6411
2.14, 0.6442, 0.6442
2.15, 0.6472, 0.6560
2.16, 0.6503, 0.6872
2.17, 0.6534, 0.7194
2.18, 0.6565, 0.7529
2.19, 0.6595, 0.7875
2.20, 0.6626, 0.8234
2.21, 0.6657, 0.8605
2.22, 0.6687, 0.8990
2.23, 0.6718, 0.9387
2.24, 0.6749, 0.9797
2.25, 0.6779, 1.0222
2.26, 0.6810, 1.0660
2.27, 0.6840, 1.1112
2.28, 0.6871, 1.1579
2.29, 0.6902, 1.2061
2.30, 0.6932, 1.2558
2.31, 0.6963, 1.3070
2.32, 0.6993, 1.3598
2.33, 0.7024, 1.4142
2.34, 0.7054, 1.4702
2.35, 0.7085, 1.5278
2.36, 0.7115, 1.5871
2.37, 0.7146, 1.6481
2.38, 0.7176, 1.7109
2.39, 0.7206, 1.7754
2.40, 0.7237, 1.8416
2.41, 0.7267, 1.9097
2.42, 0.7298, 1.9796
2.43, 0.7328, 2.0514
2.44, 0.7358, 2.1251
2.45, 0.7389, 2.2006
2.46, 0.7419, 2.2781
2.47, 0.7449, 2.3576
2.48, 0.7480, 2.4390
2.49, 0.7510, 2.5225
2.50, 0.7540, 2.6080
2.51, 0.7571, 2.6955
2.52, 0.7601, 2.7851
2.53, 0.7631, 2.8768
2.54, 0.7661, 2.9706
2.55, 0.7691, 3.0666
2.56, 0.7722, 3.1647
2.57, 0.7752, 3.2650
2.58, 0.7782, 3.3676
2.59, 0.7812, 3.4723
2.60, 0.7842, 3.5793
2.61, 0.7872, 3.6885
2.62, 0.7902, 3.8000
2.63, 0.7933, 3.9139
2.64, 0.7963, 4.0300
2.65, 0.7993, 4.1484
2.66, 0.8023, 4.2692
2.67, 0.8053, 4.3924
2.68, 0.8083, 4.5179
2.69, 0.8113, 4.6458
2.70, 0.8143, 4.7761
2.71, 0.8173, 4.9089
2.72, 0.8203, 5.0440
2.73, 0.8233, 5.1816
2.74, 0.8263, 5.3216
2.75, 0.8292, 5.4641
2.76, 0.8322, 5.6091
2.77, 0.8352, 5.7565
2.78, 0.8382, 5.9064
2.79, 0.8412, 6.0589
2.80, 0.8442, 6.2138
2.81, 0.8472, 6.3712
2.82, 0.8502, 6.5311
2.83, 0.8531, 6.6935
2.84, 0.8561, 6.8585
2.85, 0.8591, 7.0260
2.86, 0.8621, 7.1960
2.87, 0.8650, 7.3685
2.88, 0.8680, 7.5435
2.89, 0.8710, 7.7211
2.90, 0.8740, 7.9012
2.91, 0.8769, 8.0839
2.92, 0.8799, 8.2690
2.93, 0.8829, 8.4567
2.94, 0.8858, 8.6469
2.95, 0.8888, 8.8396
2.96, 0.8918, 9.0349
2.97, 0.8947, 9.2326
2.98, 0.8977, 9.4329
2.99, 0.9006, 9.6357
3.00, 0.9036, 9.8409
3.01, 0.9066, 10.0486
3.02, 0.9095, 10.2588
3.03, 0.9125, 10.4715
3.04, 0.9154, 10.6866
3.05, 0.9184, 10.9042
3.06, 0.9213, 11.1243
3.07, 0.9243, 11.3467
3.08, 0.9272, 11.5716
3.09, 0.9301, 11.7988
3.10, 0.9331, 12.0285
3.11, 0.9360, 12.2605
3.12, 0.9390, 12.4949
3.13, 0.9419, 12.7317
3.14, 0.9449, 12.9707
3.15, 0.9478, 13.2121
3.16, 0.9507, 13.4558
3.17, 0.9537, 13.7018
3.18, 0.9566, 13.9500
3.19, 0.9595, 14.2005
3.20, 0.9625, 14.4532
3.21, 0.9654, 14.7082
3.22, 0.9683, 14.9653
3.23, 0.9712, 15.2246
3.24, 0.9742, 15.4860
3.25, 0.9771, 15.7496
3.26, 0.9800, 16.0152
3.27, 0.9829, 16.2830
3.28, 0.9858, 16.5528
3.29, 0.9888, 16.8247
3.30, 0.9917, 17.0986
3.31, 0.9946, 17.3745
3.32, 0.9975, 17.6523
3.33, 1.0004, 17.9321
3.34, 1.0033, 18.2138
3.35, 1.0062, 18.4974
3.36, 1.0091, 18.7829
3.37, 1.0121, 19.0702
3.38, 1.0150, 19.3594
3.39, 1.0179, 19.6503
3.40, 1.0208, 19.9430
3.41, 1.0237, 20.2374
3.42, 1.0266, 20.5336
3.43, 1.0295, 20.8314
3.44, 1.0324, 21.1309
3.45, 1.0353, 21.4320
3.46, 1.0382, 21.7347
3.47, 1.0410, 22.0390
3.48, 1.0439, 22.3448
3.49, 1.0468, 22.6522
3.50, 1.0497, 22.9610
3.51, 1.0526, 23.2713
3.52, 1.0555, 23.5830
3.53, 1.0584, 23.8960
3.54, 1.0613, 24.2105
3.55, 1.0641, 24.5263
3.56, 1.0670, 24.8434
3.57, 1.0699, 25.1617
3.58, 1.0728, 25.4814
3.59, 1.0757, 25.8022
3.60, 1.0785, 26.1242
3.61, 1.0814, 26.4473
3.62, 1.0843, 26.7716
3.63, 1.0872, 27.0970
3.64, 1.0900, 27.4234
3.65, 1.0929, 27.7508
3.66, 1.0958, 28.0793
3.67, 1.0986, 28.4087
3.68, 1.1015, 28.7390
3.69, 1.1044, 29.0702
3.70, 1.1072, 29.4023
3.71, 1.1101, 29.7353
3.72, 1.1130, 30.0691
3.73, 1.1158, 30.4036
3.74, 1.1187, 30.7389
3.75, 1.1215, 31.0749
3.76, 1.1244, 31.4116
3.77, 1.1272, 31.7489
3.78, 1.1301, 32.0869
3.79, 1.1329, 32.4254
3.80, 1.1358, 32.7645
3.81, 1.1386, 33.1042
3.82, 1.1415, 33.4443
3.83, 1.1443, 33.7849
3.84, 1.1472, 34.1260
3.85, 1.1500, 34.4674
3.86, 1.1529, 34.8093
3.87, 1.1557, 35.1515
3.88, 1.1585, 35.4940
3.89, 1.1614, 35.8368
3.90, 1.1642, 36.1799
3.91, 1.1671, 36.5232
3.92, 1.1699, 36.8667
3.93, 1.1727, 37.2103
3.94, 1.1756, 37.5541
3.95, 1.1784, 37.8981
3.96, 1.1812, 38.2421
3.97, 1.1840, 38.5862
3.98, 1.1869, 38.9303
3.99, 1.1897, 39.2744
4.00, 1.1925, 39.6185
4.01, 1.1953, 39.9625
4.02, 1.1982, 40.3065
4.03, 1.2010, 40.6503
4.04, 1.2038, 40.9941
4.05, 1.2066, 41.3376
4.06, 1.2094, 41.6810
4.07, 1.2123, 42.0242
4.08, 1.2151, 42.3671
4.09, 1.2179, 42.7098
4.10, 1.2207, 43.0522
4.11, 1.2235, 43.3942
4.12, 1.2263, 43.7359
4.13, 1.2291, 44.0773
4.14, 1.2319, 44.4183
4.15, 1.2347, 44.7589
4.16, 1.2375, 45.0990
4.17, 1.2404, 45.4387
4.18, 1.2432, 45.7779
4.19, 1.2460, 46.1166
4.20, 1.2488, 46.4547
4.21, 1.2516, 46.7924
4.22, 1.2544, 47.1294
4.23, 1.2571, 47.4659
4.24, 1.2599, 47.8017
4.25, 1.2627, 48.1369
4.26, 1.2655, 48.4715
4.27, 1.2683, 48.8053
4.28, 1.2711, 49.1385
4.29, 1.2739, 49.4710
4.30, 1.2767, 49.8027
4.31, 1.2795, 50.1336
4.32, 1.2823, 50.4638
4.33, 1.2850, 50.7932
4.34, 1.2878, 51.1218
4.35, 1.2906, 51.4495
4.36, 1.2934, 51.7764
4.37, 1.2962, 52.1025
4.38, 1.2989, 52.4276
4.39, 1.3017, 52.7518
4.40, 1.3045, 53.0752
4.41, 1.3073, 53.3975
4.42, 1.3100, 53.7190
4.43, 1.3128, 54.0394
4.44, 1.3156, 54.3589
4.45, 1.3184, 54.6774
4.46, 1.3211, 54.9949
4.47, 1.3239, 55.3113
4.48, 1.3267, 55.6267
4.49, 1.3294, 55.9410
4.50, 1.3322, 56.2543
4.51, 1.3349, 56.5665
4.52, 1.3377, 56.8775
4.53, 1.3405, 57.1875
4.54, 1.3432, 57.4963
4.55, 1.3460, 57.8040
4.56, 1.3487, 58.1106
4.57, 1.3515, 58.4160
4.58, 1.3542, 58.7202
4.59, 1.3570, 59.0232
4.60, 1.3598, 59.3251
4.61, 1.3625, 59.6257
4.62, 1.3653, 59.9251
4.63, 1.3680, 60.2233
4.64, 1.3707, 60.5203
4.65, 1.3735, 60.8160
4.66, 1.3762, 61.1104
4.67, 1.3790, 61.4036
4.68, 1.3817, 61.6955
4.69, 1.3845, 61.9861
4.70, 1.3872, 62.2755
4.71, 1.3899, 62.5635
4.72, 1.3927, 62.8502
4.73, 1.3954, 63.1356
4.74, 1.3982, 63.4197
4.75, 1.4009, 63.7024
4.76, 1.4036, 63.9839
4.77, 1.4064, 64.2639
4.78, 1.4091, 64.5427
4.79, 1.4118, 64.8200
4.80, 1.4145, 65.0960
4.81, 1.4173, 65.3706
4.82, 1.4200, 65.6439
4.83, 1.4227, 65.9158
4.84, 1.4254, 66.1863
4.85, 1.4282, 66.4554
4.86, 1.4309, 66.7231
4.87, 1.4336, 66.9894
4.88, 1.4363, 67.2543
4.89, 1.4390, 67.5179
4.90, 1.4418, 67.7800
4.91, 1.4445, 68.0406
4.92, 1.4472, 68.2999
4.93, 1.4499, 68.5578
4.94, 1.4526, 68.8142
4.95, 1.4553, 69.0692
4.96, 1.4580, 69.3228
4.97, 1.4607, 69.5749
4.98, 1.4635, 69.8256
4.99, 1.4662, 70.0749
5.00, 1.4689, 70.3228
5.01, 1.4716, 70.5692
5.02, 1.4743, 70.8142
5.03, 1.4770, 71.0577
5.04, 1.4797, 71.2998
5.05, 1.4824, 71.5405
5.06, 1.4851, 71.7797
5.07, 1.4878, 72.0175
5.08, 1.4905, 72.2538
5.09, 1.4932, 72.4887
5.10, 1.4959, 72.7221
5.11, 1.4986, 72.9541
5.12, 1.5012, 73.1847
5.13, 1.5039, 73.4138
5.14, 1.5066, 73.6415
5.15, 1.5093, 73.8678
5.16, 1.5120, 74.0926
5.17, 1.5147, 74.3159
5.18, 1.5174, 74.5379
5.19, 1.5201, 74.7584
5.20, 1.5227, 74.9775
5.21, 1.5254, 75.1951
5.22, 1.5281, 75.4113
5.23, 1.5308, 75.6261
5.24, 1.5335, 75.8395
5.25, 1.5361, 76.0514
5.26, 1.5388, 76.2619
5.27, 1.5415, 76.4710
5.28, 1.5442, 76.6787
5.29, 1.5468, 76.8850
5.30, 1.5495, 77.0899
5.31, 1.5522, 77.2933
5.32, 1.5549, 77.4954
5.33, 1.5575, 77.6961
5.34, 1.5602, 77.8953
5.35, 1.5629, 78.0932
5.36, 1.5655, 78.2897
5.37, 1.5682, 78.4848
5.38, 1.5709, 78.6785
5.39, 1.5735, 78.8708
5.40, 1.5762, 79.0618
5.41, 1.5788, 79.2514
5.42, 1.5815, 79.4396
5.43, 1.5842, 79.6265
5.44, 1.5868, 79.8120
5.45, 1.5895, 79.9962
5.46, 1.5921, 80.1790
5.47, 1.5948, 80.3604
5.48, 1.5974, 80.5406
5.49, 1.6001, 80.7194
5.50, 1.6027, 80.8968
5.51, 1.6054, 81.0730
5.52, 1.6080, 81.2478
5.53, 1.6107, 81.4213
5.54, 1.6133, 81.5935
5.55, 1.6160, 81.7644
5.56, 1.6186, 81.9339
5.57, 1.6213, 82.1022
5.58, 1.6239, 82.2692
5.59, 1.6265, 82.4350
5.60, 1.6292, 82.5994
5.61, 1.6318, 82.7626
5.62, 1.6345, 82.9245
5.63, 1.6371, 83.0851
5.64, 1.6397, 83.2445
5.65, 1.6424, 83.4026
5.66, 1.6450, 83.5595
5.67, 1.6476, 83.7152
5.68, 1.6503, 83.8696
5.69, 1.6529, 84.0228
5.70, 1.6555, 84.1747
5.71, 1.6582, 84.3255
5.72, 1.6608, 84.4750
5.73, 1.6634, 84.6234
5.74, 1.6660, 84.7705
5.75, 1.6687, 84.9164
5.76, 1.6713, 85.0612
5.77, 1.6739, 85.2048
5.78, 1.6765, 85.3472
5.79, 1.6792, 85.4885
5.80, 1.6818, 85.6285
5.81, 1.6844, 85.7675
5.82, 1.6870, 85.9053
5.83, 1.6896, 86.0419
5.84, 1.6922, 86.1774
5.85, 1.6949, 86.3118
5.86, 1.6975, 86.4450
5.87, 1.7001, 86.5772
5.88, 1.7027, 86.7082
5.89, 1.7053, 86.8381
5.90, 1.7079, 86.9669
5.91, 1.7105, 87.0947
5.92, 1.7131, 87.2213
5.93, 1.7157, 87.3469
5.94, 1.7183, 87.4714
5.95, 1.7209, 87.5948
5.96, 1.7235, 87.7172
5.97, 1.7261, 87.8385
5.98, 1.7287, 87.9588
5.99, 1.7313, 88.0781
6.00, 1.7339, 88.1963
6.01, 1.7365, 88.3134
6.02, 1.7391, 88.4296
6.03, 1.7417, 88.5448
6.04, 1.7443, 88.6589
6.05, 1.7469, 88.7720
6.06, 1.7495, 88.8842
6.07, 1.7521, 88.9953
6.08, 1.7547, 89.1055
6.09, 1.7573, 89.2147
6.10, 1.7599, 89.3230
6.11, 1.7625, 89.4302
6.12, 1.7651, 89.5366
6.13, 1.7676, 89.6419
6.14, 1.7702, 89.7464
6.15, 1.7728, 89.8499
6.16, 1.7754, 89.9524
6.17, 1.7780, 90.0541
6.18, 1.7806, 90.1548
6.19, 1.7831, 90.2546
6.20, 1.7857, 90.3535
6.21, 1.7883, 90.4515
6.22, 1.7909, 90.5487
6.23, 1.7935, 90.6449
6.24, 1.7960, 90.7403
6.25, 1.7986, 90.8348
6.26, 1.8012, 90.9284
6.27, 1.8037, 91.0211
6.28, 1.8063, 91.1131
6.29, 1.8089, 91.2041
6.30, 1.8115, 91.2943
6.31, 1.8140, 91.3837
6.32, 1.8166, 91.4723
6.33, 1.8192, 91.5600
6.34, 1.8217, 91.6470
6.35, 1.8243, 91.7331
6.36, 1.8269, 91.8184
6.37, 1.8294, 91.9029
6.38, 1.8320, 91.9866
6.39, 1.8345, 92.0695
6.40, 1.8371, 92.1517
6.41, 1.8397, 92.2331
6.42, 1.8422, 92.3137
6.43, 1.8448, 92.3936
6.44, 1.8473, 92.4726
6.45, 1.8499, 92.5510
6.46, 1.8524, 92.6286
6.47, 1.8550, 92.7055
6.48, 1.8575, 92.7816
6.49, 1.8601, 92.8570
6.50, 1.8626, 92.9317
6.51, 1.8652, 93.0057
6.52, 1.8677, 93.0789
6.53, 1.8703, 93.1515
6.54, 1.8728, 93.2233
6.55, 1.8754, 93.2945
6.56, 1.8779, 93.3650
6.57, 1.8805, 93.4348
6.58, 1.8830, 93.5039
6.59, 1.8856, 93.5724
6.60, 1.8881, 93.6401
6.61, 1.8906, 93.7073
6.62, 1.8932, 93.7738
6.63, 1.8957, 93.8396
6.64, 1.8983, 93.9048
6.65, 1.9008, 93.9693
6.66, 1.9033, 94.0332
6.67, 1.9059, 94.0965
6.68, 1.9084, 94.1592
6.69, 1.9109, 94.2212
6.70, 1.9135, 94.2827
6.71, 1.9160, 94.3435
6.72, 1.9185, 94.4038
6.73, 1.9210, 94.4634
6.74, 1.9236, 94.5224
6.75, 1.9261, 94.5809
6.76, 1.9286, 94.6388
6.77, 1.9311, 94.6961
6.78, 1.9337, 94.7528
6.79, 1.9362, 94.8090
6.80, 1.9387, 94.8646
6.81, 1.9412, 94.9197
6.82, 1.9438, 94.9742
6.83, 1.9463, 95.0281
6.84, 1.9488, 95.0816
6.85, 1.9513, 95.1344
6.86, 1.9538, 95.1868
6.87, 1.9563, 95.2386
6.88, 1.9589, 95.2899
6.89, 1.9614, 95.3407
6.90, 1.9639, 95.3910
6.91, 1.9664, 95.4407
6.92, 1.9689, 95.4900
6.93, 1.9714, 95.5387
6.94, 1.9739, 95.5870
6.95, 1.9764, 95.6348
6.96, 1.9789, 95.6821
6.97, 1.9815, 95.7289
6.98, 1.9840, 95.7752
6.99, 1.9865, 95.8211
7.00, 1.9890, 95.8664
7.01, 1.9915, 95.9114
7.02, 1.9940, 95.9558
7.03, 1.9965, 95.9998
7.04, 1.9990, 96.0434
7.05, 2.0015, 96.0865
7.06, 2.0040, 96.1292
7.07, 2.0065, 96.1714
7.08, 2.0090, 96.2132
7.09, 2.0115, 96.2545
7.10, 2.0140, 96.2955
7.11, 2.0165, 96.3360
7.12, 2.0189, 96.3761
7.13, 2.0214, 96.4157
7.14, 2.0239, 96.4550
7.15, 2.0264, 96.4939
7.16, 2.0289, 96.5323
7.17, 2.0314, 96.5704
7.18, 2.0339, 96.6080
7.19, 2.0364, 96.6453
7.20, 2.0389, 96.6821
7.21, 2.0413, 96.7186
7.22, 2.0438, 96.7547
7.23, 2.0463, 96.7905
7.24, 2.0488, 96.8258
7.25, 2.0513, 96.8608
7.26, 2.0538, 96.8954
7.27, 2.0562, 96.9297
7.28, 2.0587, 96.9636
7.29, 2.0612, 96.9971
7.30, 2.0637, 97.0303
7.31, 2.0661, 97.0631
7.32, 2.0686, 97.0956
7.33, 2.0711, 97.1278
7.34, 2.0736, 97.1596
7.35, 2.0760, 97.1910
7.36, 2.0785, 97.2222
7.37, 2.0810, 97.2530
7.38, 2.0835, 97.2835
7.39, 2.0859, 97.3136
7.40, 2.0884, 97.3435
7.41, 2.0909, 97.3730
7.42, 2.0933, 97.4022
7.43, 2.0958, 97.4311
7.44, 2.0983, 97.4597
7.45, 2.1007, 97.4880
7.46, 2.1032, 97.5159
7.47, 2.1056, 97.5436
7.48, 2.1081, 97.5710
7.49, 2.1106, 97.5981
7.50, 2.1130, 97.6249
7.51, 2.1155, 97.6514
7.52, 2.1179, 97.6776
7.53, 2.1204, 97.7036
7.54, 2.1229, 97.7293
7.55, 2.1253, 97.7547
7.56, 2.1278, 97.7798
7.57, 2.1302, 97.8046
7.58, 2.1327, 97.8292
7.59, 2.1351, 97.8535
7.60, 2.1376, 97.8776
7.61, 2.1400, 97.9014
7.62, 2.1425, 97.9249
7.63, 2.1449, 97.9482
7.64, 2.1474, 97.9713
7.65, 2.1498, 97.9940
7.66, 2.1523, 98.0166
7.67, 2.1547, 98.0389
7.68, 2.1572, 98.0609
7.69, 2.1596, 98.0827
7.70, 2.1621, 98.1043
7.71, 2.1645, 98.1257
7.72, 2.1669, 98.1468
7.73, 2.1694, 98.1676
7.74, 2.1718, 98.1883
7.75, 2.1743, 98.2087
7.76, 2.1767, 98.2289
7.77, 2.1791, 98.2489
7.78, 2.1816, 98.2687
7.79, 2.1840, 98.2882
7.80, 2.1864, 98.3076
7.81, 2.1889, 98.3267
7.82, 2.1913, 98.3456
7.83, 2.1937, 98.3643
7.84, 2.1962, 98.3828
7.85, 2.1986, 98.4011
7.86, 2.2010, 98.4192
7.87, 2.2035, 98.4371
7.88, 2.2059, 98.4548
7.89, 2.2083, 98.4723
7.90, 2.2107, 98.4897
7.91, 2.2132, 98.5068
7.92, 2.2156, 98.5237
7.93, 2.2180, 98.5405
7.94, 2.2204, 98.5570
7.95, 2.2229, 98.5734
7.96, 2.2253, 98.5896
7.97, 2.2277, 98.6057
7.98, 2.2301, 98.6215
7.99, 2.2325, 98.6372
8.00, 2.2350, 98.6527
8.01, 2.2374, 98.6680
8.02, 2.2398, 98.6832
8.03, 2.2422, 98.6981
8.04, 2.2446, 98.7130
8.05, 2.2470, 98.7276
8.06, 2.2494, 98.7421
8.07, 2.2519, 98.7565
8.08, 2.2543, 98.7706
8.09, 2.2567, 98.7847
8.10, 2.2591, 98.7985
8.11, 2.2615, 98.8122
8.12, 2.2639, 98.8258
8.13, 2.2663, 98.8392
8.14, 2.2687, 98.8525
8.15, 2.2711, 98.8656
8.16, 2.2735, 98.8785
8.17, 2.2759, 98.8913
8.18, 2.2783, 98.9040
8.19, 2.2807, 98.9166
8.20, 2.2831, 98.9289
8.21, 2.2855, 98.9412
8.22, 2.2879, 98.9533
8.23, 2.2903, 98.9653
8.24, 2.2927, 98.9771
8.25, 2.2951, 98.9889
8.26, 2.2975, 99.0004
8.27, 2.2999, 99.0119
8.28, 2.3023, 99.0232
8.29, 2.3047, 99.0344
8.30, 2.3071, 99.0455
8.31, 2.3095, 99.0565
8.32, 2.3119, 99.0673
8.33, 2.3143, 99.0780
8.34, 2.3167, 99.0886
8.35, 2.3191, 99.0990
8.36, 2.3215, 99.1094
8.37, 2.3239, 99.1196
8.38, 2.3262, 99.1297
8.39, 2.3286, 99.1397
8.40, 2.3310, 99.1496
8.41, 2.3334, 99.1594
8.42, 2.3358, 99.1691
8.43, 2.3382, 99.1786
8.44, 2.3405, 99.1881
8.45, 2.3429, 99.1974
8.46, 2.3453, 99.2067
8.47, 2.3477, 99.2158
8.48, 2.3501, 99.2248
8.49, 2.3525, 99.2337
8.50, 2.3548, 99.2426
8.51, 2.3572, 99.2513
8.52, 2.3596, 99.2599
8.53, 2.3620, 99.2685
8.54, 2.3643, 99.2769
8.55, 2.3667, 99.2852
8.56, 2.3691, 99.2935
8.57, 2.3715, 99.3016
8.58, 2.3738, 99.3097
8.59, 2.3762, 99.3177
8.60, 2.3786, 99.3255
8.61, 2.3809, 99.3333
8.62, 2.3833, 99.3410
8.63, 2.3857, 99.3486
8.64, 2.3880, 99.3561
8.65, 2.3904, 99.3636
8.66, 2.3928, 99.3709
8.67, 2.3951, 99.3782
8.68, 2.3975, 99.3854
8.69, 2.3999, 99.3925
8.70, 2.4022, 99.3995
8.71, 2.4046, 99.4065
