wd(m),factor(-)
7.99,0.022325
8,0.02235
8.01,0.022374
8.02,0.022398
8.03,0.022422
8.04,0.022446
8.05,0.02247
8.06,0.022494
8.07,0.022519
8.08,0.022543
8.09,0.022567
8.1,0.022591
8.11,0.022615
8.12,0.022639
8.13,0.022663
8.14,0.022687
8.15,0.022711
8.16,0.022735
8.17,0.022759
8.18,0.022783
8.19,0.022807
8.2,0.022831
8.21,0.022855
8.22,0.022879
8.23,0.022903
8.24,0.022927
8.25,0.022951
8.26,0.022975
8.27,0.022999
8.28,0.023023
8.29,0.023047
8.3,0.023071
8.31,0.023095
8.32,0.023119
8.33,0.023143
8.34,0.023167
8.35,0.023191
8.36,0.023215
8.37,0.023239
8.38,0.023262
8.39,0.023286
8.4,0.02331
8.41,0.023334
8.42,0.023358
8.43,0.023382
8.44,0.023405
8.45,0.023429
8.46,0.023453
8.47,0.023477
8.48,0.023501
8.49,0.023525
8.5,0.023548
8.51,0.023572
8.52,0.023596
8.53,0.02362
8.54,0.023643
8.55,0.023667
8.56,0.023691
8.57,0.023715
8.58,0.023738
8.59,0.023762
8.6,0.023786
8.61,0.023809
8.62,0.023833
8.63,0.023857
8.64,0.02388
8.65,0.023904
8.66,0.023928
8.67,0.023951
8.68,0.023975
8.69,0.023999
8.7,0.024022
8.71,0.024046
8.72,0.02407
8.73,0.024093
8.74,0.024117
8.75,0.02414
8.76,0.024164
8.77,0.024187
8.78,0.024211
8.79,0.024235
8.8,0.024258
8.81,0.024282
8.82,0.024305
8.83,0.024329
8.84,0.024352
8.85,0.024376
8.86,0.024399
8.87,0.024423
8.88,0.024446
8.89,0.02447
8.9,0.024493
8.91,0.024517
8.92,0.02454
8.93,0.024564
8.94,0.024587
8.95,0.024611
8.96,0.024634
8.97,0.024657
8.98,0.024681
8.99,0.024704
9,0.024728
9.01,0.024751
9.02,0.024774
9.03,0.024798
9.04,0.024821
9.05,0.024845
9.06,0.024868
9.07,0.024891
9.08,0.024915
9.09,0.024938
9.1,0.024961
9.11,0.024985
9.12,0.025008
9.13,0.025031
9.14,0.025054
9.15,0.025078
9.16,0.025101
9.17,0.025124
9.18,0.025148
9.19,0.025171
9.2,0.025194
9.21,0.025217
9.22,0.025241
9.23,0.025264
9.24,0.025287
9.25,0.02531
9.26,0.025333
9.27,0.025357
9.28,0.02538
9.29,0.025403
9.3,0.025426
9.31,0.025449
9.32,0.025473
9.33,0.025496
9.34,0.025519
9.35,0.025542
9.36,0.025565
9.37,0.025588
9.38,0.025611
9.39,0.025635
9.4,0.025658
9.41,0.025681
9.42,0.025704
9.43,0.025727
9.44,0.02575
9.45,0.025773
9.46,0.025796
9.47,0.025819
9.48,0.025842
9.49,0.025865
9.5,0.025888
9.51,0.025911
9.52,0.025934
9.53,0.025957
9.54,0.02598
9.55,0.026003
9.56,0.026026
9.57,0.026049
9.58,0.026072
9.59,0.026095
9.6,0.026118
9.61,0.026141
9.62,0.026164
9.63,0.026187
9.64,0.02621
9.65,0.026233
9.66,0.026256
9.67,0.026279
9.68,0.026302
9.69,0.026325
9.7,0.026348
9.71,0.026371
9.72,0.026393
9.73,0.026416
9.74,0.026439
9.75,0.026462
9.76,0.026485
9.77,0.026508
9.78,0.026531
9.79,0.026553
9.8,0.026576
9.81,0.026599
9.82,0.026622
9.83,0.026645
9.84,0.026668
9.85,0.02669
9.86,0.026713
9.87,0.026736
9.88,0.026759
9.89,0.026781
9.9,0.026804
9.91,0.026827
9.92,0.02685
9.93,0.026872
9.94,0.026895
9.95,0.026918
9.96,0.026941
9.97,0.026963
9.98,0.026986
9.99,0.027009
10,0.027031
