column separator = ,
wd(m), 0.5(m/h), 4.0(m/h)
5.19,2.9807,90.8837
5.2,2.9858,91.0201
5.21,2.9909,91.1548
5.22,2.9961,91.2877
5.23,3.0012,91.4188
5.24,3.0063,91.5482
5.25,3.0114,91.6760
5.26,3.0165,91.8020
5.27,3.0216,91.9263
5.28,3.0266,92.0490
5.29,3.0317,92.1700
5.3,3.0368,92.2894
5.31,3.0419,92.4072
5.32,3.0470,92.5234
5.33,3.0521,92.6381
5.34,3.0571,92.7511
5.35,3.0622,92.8626
5.36,3.0673,92.9726
5.37,3.0724,93.0811
5.38,3.0774,93.1881
5.39,3.0825,93.2936
5.4,3.0876,93.3977
5.41,3.0926,93.5003
5.42,3.0977,93.6015
5.43,3.1027,93.7013
5.44,3.1078,93.7996
5.45,3.1128,93.8966
5.46,3.1179,93.9923
5.47,3.1229,94.0866
5.48,3.1280,94.1795
5.49,3.1330,94.2711
5.5,3.1380,94.3615
5.51,3.1431,94.4505
5.52,3.1481,94.5383
5.53,3.1531,94.6248
5.54,3.1582,94.7101
5.55,3.1632,94.7941
5.56,3.1682,94.8769
5.57,3.1732,94.9586
5.58,3.1782,95.0390
5.59,3.1833,95.1183
5.6,3.1883,95.1964
5.61,3.1933,95.2734
5.62,3.1983,95.3492
5.63,3.2033,95.4240
5.64,3.2083,95.4976
5.65,3.2133,95.5702
5.66,3.2183,95.6417
5.67,3.2233,95.7121
5.68,3.2283,95.7815
5.69,3.2333,95.8499
5.7,3.2383,95.9172
5.71,3.2432,95.9835
5.72,3.2482,96.0489
5.73,3.2532,96.1132
5.74,3.2582,96.1766
5.75,3.2632,96.2391
5.76,3.2681,96.3006
5.77,3.2731,96.3611
5.78,3.2781,96.4208
5.79,3.2830,96.4796
5.8,3.2880,96.5374
5.81,3.2930,96.5944
5.82,3.2979,96.6505
5.83,3.3029,96.7057
5.84,3.3078,96.7601
5.85,3.3128,96.8137
5.86,3.3177,96.8665
5.87,3.3227,96.9184
5.88,3.3276,96.9695
5.89,3.3326,97.0199
5.9,3.3375,97.0694
5.91,3.3424,97.1182
5.92,3.3474,97.1663
5.93,3.3523,97.2135
5.94,3.3572,97.2601
5.95,3.3622,97.3059
5.96,3.3671,97.3510
5.97,3.3720,97.3954
5.98,3.3769,97.4391
5.99,3.3819,97.4822
6,3.3868,97.5245
6.01,3.3917,97.5662
6.02,3.3966,97.6072
6.03,3.4015,97.6475
6.04,3.4064,97.6873
6.05,3.4113,97.7264
6.06,3.4162,97.7648
6.07,3.4211,97.8027
6.08,3.4260,97.8399
6.09,3.4309,97.8766
6.1,3.4358,97.9127
6.11,3.4407,97.9482
6.12,3.4456,97.9831
6.13,3.4505,98.0175
6.14,3.4554,98.0513
6.15,3.4603,98.0845
6.16,3.4651,98.1173
6.17,3.4700,98.1495
6.18,3.4749,98.1811
6.19,3.4798,98.2123
6.2,3.4846,98.2430
6.21,3.4895,98.2731
6.22,3.4944,98.3028
6.23,3.4992,98.3320
6.24,3.5041,98.3607
6.25,3.5090,98.3890
6.26,3.5138,98.4167
6.27,3.5187,98.4441
6.28,3.5235,98.4709
6.29,3.5284,98.4974
6.3,3.5332,98.5234
6.31,3.5381,98.5489
6.32,3.5429,98.5741
6.33,3.5478,98.5988
6.34,3.5526,98.6232
6.35,3.5574,98.6471
6.36,3.5623,98.6706
6.37,3.5671,98.6937
6.38,3.5719,98.7165
6.39,3.5768,98.7389
6.4,3.5816,98.7609
6.41,3.5864,98.7825
6.42,3.5912,98.8038
6.43,3.5961,98.8247
6.44,3.6009,98.8453
6.45,3.6057,98.8655
6.46,3.6105,98.8854
6.47,3.6153,98.9049
6.48,3.6201,98.9241
6.49,3.6249,98.9430
6.5,3.6297,98.9616
6.51,3.6345,98.9799
6.52,3.6393,98.9978
6.53,3.6441,99.0155
6.54,3.6489,99.0329
6.55,3.6537,99.0499
6.56,3.6585,99.0667
6.57,3.6633,99.0832
6.58,3.6681,99.0994
6.59,3.6729,99.1153
6.6,3.6776,99.1310
6.61,3.6824,99.1464
6.62,3.6872,99.1615
6.63,3.6920,99.1764
6.64,3.6968,99.1910
6.65,3.7015,99.2054
6.66,3.7063,99.2195
6.67,3.7111,99.2334
6.68,3.7158,99.2470
6.69,3.7206,99.2604
6.7,3.7254,99.2736
6.71,3.7301,99.2866
6.72,3.7349,99.2993
6.73,3.7396,99.3118
6.74,3.7444,99.3241
6.75,3.7491,99.3362
6.76,3.7539,99.3481
6.77,3.7586,99.3597
6.78,3.7634,99.3712
6.79,3.7681,99.3825
6.8,3.7728,99.3935
6.81,3.7776,99.4044
6.82,3.7823,99.4151
6.83,3.7870,99.4256
6.84,3.7918,99.4359
6.85,3.7965,99.4461
6.86,3.8012,99.4560
6.87,3.8060,99.4658
6.88,3.8107,99.4755
6.89,3.8154,99.4849
6.9,3.8201,99.4942
6.91,3.8248,99.5033
6.92,3.8296,99.5123
6.93,3.8343,99.5211
6.94,3.8390,99.5297
6.95,3.8437,99.5382
6.96,3.8484,99.5466
6.97,3.8531,99.5548
6.98,3.8578,99.5629
6.99,3.8625,99.5708
7,3.8672,99.5786
7.01,3.8719,99.5862
7.02,3.8766,99.5937
7.03,3.8813,99.6011
7.04,3.8860,99.6083
7.05,3.8907,99.6154
7.06,3.8953,99.6224
7.07,3.9000,99.6293
7.08,3.9047,99.6360
7.09,3.9094,99.6427
7.1,3.9141,99.6492
7.11,3.9187,99.6556
7.12,3.9234,99.6619
7.13,3.9281,99.6680
7.14,3.9327,99.6741
7.15,3.9374,99.6800
7.16,3.9421,99.6859
7.17,3.9467,99.6916
7.18,3.9514,99.6972
7.19,3.9561,99.7028
7.2,3.9607,99.7082
7.21,3.9654,99.7136
7.22,3.9700,99.7188
7.23,3.9747,99.7240
7.24,3.9793,99.7290
7.25,3.9840,99.7340
7.26,3.9886,99.7389
7.27,3.9933,99.7436
7.28,3.9979,99.7484
7.29,4.0025,99.7530
7.3,4.0072,99.7575
7.31,4.0118,99.7620
7.32,4.0165,99.7663
7.33,4.0211,99.7706
7.34,4.0257,99.7749
7.35,4.0303,99.7790
7.36,4.0350,99.7831
7.37,4.0396,99.7871
7.38,4.0442,99.7910
7.39,4.0488,99.7948
7.4,4.0534,99.7986
7.41,4.0581,99.8023
7.42,4.0627,99.8060
7.43,4.0673,99.8096
7.44,4.0719,99.8131
7.45,4.0765,99.8165
7.46,4.0811,99.8199
7.47,4.0857,99.8233
7.48,4.0903,99.8265
7.49,4.0949,99.8297
7.5,4.0995,99.8329
7.51,4.1041,99.8360
7.52,4.1087,99.8390
7.53,4.1133,99.8420
7.54,4.1179,99.8449
7.55,4.1225,99.8478
7.56,4.1271,99.8506
7.57,4.1316,99.8534
7.58,4.1362,99.8561
7.59,4.1408,99.8588
7.6,4.1454,99.8614
7.61,4.1500,99.8640
7.62,4.1545,99.8665
7.63,4.1591,99.8690
7.64,4.1637,99.8714
7.65,4.1682,99.8738
7.66,4.1728,99.8762
7.67,4.1774,99.8785
7.68,4.1819,99.8807
7.69,4.1865,99.8829
7.7,4.1911,99.8851
7.71,4.1956,99.8873
7.72,4.2002,99.8894
7.73,4.2047,99.8914
7.74,4.2093,99.8934
7.75,4.2138,99.8954
7.76,4.2184,99.8974
7.77,4.2229,99.8993
7.78,4.2275,99.9012
7.79,4.2320,99.9030
7.8,4.2365,99.9048
7.81,4.2411,99.9066
7.82,4.2456,99.9083
7.83,4.2501,99.9101
7.84,4.2547,99.9117
7.85,4.2592,99.9134
7.86,4.2637,99.9150
7.87,4.2683,99.9166
7.88,4.2728,99.9182
7.89,4.2773,99.9197
7.9,4.2818,99.9212
7.91,4.2864,99.9227
7.92,4.2909,99.9241
7.93,4.2954,99.9255
7.94,4.2999,99.9269
7.95,4.3044,99.9283
7.96,4.3089,99.9296
7.97,4.3134,99.9310
7.98,4.3179,99.9323
7.99,4.3224,99.9335
8,4.3269,99.9348
8.01,4.3314,99.9360
8.02,4.3359,99.9372
8.03,4.3404,99.9384
8.04,4.3449,99.9395
8.05,4.3494,99.9407
8.06,4.3539,99.9418
8.07,4.3584,99.9429
8.08,4.3629,99.9439
8.09,4.3674,99.9450
8.1,4.3719,99.9460
8.11,4.3764,99.9470
8.12,4.3808,99.9480
8.13,4.3853,99.9490
8.14,4.3898,99.9500
8.15,4.3943,99.9509
8.16,4.3987,99.9518
8.17,4.4032,99.9527
8.18,4.4077,99.9536
8.19,4.4121,99.9545
8.2,4.4166,99.9554
8.21,4.4211,99.9562
8.22,4.4255,99.9570
8.23,4.4300,99.9578
8.24,4.4345,99.9586
8.25,4.4389,99.9594
8.26,4.4434,99.9602
8.27,4.4478,99.9609
8.28,4.4523,99.9617
8.29,4.4567,99.9624
8.3,4.4612,99.9631
8.31,4.4656,99.9638
8.32,4.4701,99.9645
8.33,4.4745,99.9651
8.34,4.4790,99.9658
8.35,4.4834,99.9664
8.36,4.4878,99.9671
8.37,4.4923,99.9677
8.38,4.4967,99.9683
8.39,4.5011,99.9689
8.4,4.5056,99.9695
8.41,4.5100,99.9701
8.42,4.5144,99.9706
8.43,4.5188,99.9712
8.44,4.5233,99.9717
8.45,4.5277,99.9723
8.46,4.5321,99.9728
8.47,4.5365,99.9733
8.48,4.5409,99.9738
8.49,4.5454,99.9743
8.5,4.5498,99.9748
8.51,4.5542,99.9753
8.52,4.5586,99.9757
8.53,4.5630,99.9762
8.54,4.5674,99.9766
8.55,4.5718,99.9771
8.56,4.5762,99.9775
8.57,4.5806,99.9779
8.58,4.5850,99.9784
8.59,4.5894,99.9788
8.6,4.5938,99.9792
8.61,4.5982,99.9796
8.62,4.6026,99.9800
8.63,4.6070,99.9803
8.64,4.6114,99.9807
8.65,4.6158,99.9811
8.66,4.6201,99.9814
8.67,4.6245,99.9818
8.68,4.6289,99.9821
8.69,4.6333,99.9825
8.7,4.6377,99.9828
8.71,4.6420,99.9831
8.72,4.6464,99.9834
8.73,4.6508,99.9838
8.74,4.6552,99.9841
8.75,4.6595,99.9844
8.76,4.6639,99.9847
8.77,4.6683,99.9850
8.78,4.6726,99.9852
8.79,4.6770,99.9855
8.8,4.6813,99.9858
8.81,4.6857,99.9861
8.82,4.6901,99.9863
8.83,4.6944,99.9866
8.84,4.6988,99.9868
8.85,4.7031,99.9871
8.86,4.7075,99.9873
8.87,4.7118,99.9876
8.88,4.7162,99.9878
8.89,4.7205,99.9880
8.9,4.7249,99.9883
8.91,4.7292,99.9885
8.92,4.7336,99.9887
8.93,4.7379,99.9889
8.94,4.7422,99.9891
8.95,4.7466,99.9893
8.96,4.7509,99.9895
8.97,4.7552,99.9897
8.98,4.7596,99.9899
8.99,4.7639,99.9901
9,4.7682,99.9903
9.01,4.7725,99.9905
9.02,4.7769,99.9907
9.03,4.7812,99.9909
9.04,4.7855,99.9910
9.05,4.7898,99.9912
9.06,4.7941,99.9914
9.07,4.7985,99.9915
9.08,4.8028,99.9917
9.09,4.8071,99.9918
9.1,4.8114,99.9920
9.11,4.8157,99.9922
9.12,4.8200,99.9923
9.13,4.8243,99.9924
9.14,4.8286,99.9926
9.15,4.8329,99.9927
9.16,4.8372,99.9929
9.17,4.8415,99.9930
9.18,4.8458,99.9931
9.19,4.8501,99.9933
9.2,4.8544,99.9934
9.21,4.8587,99.9935
9.22,4.8630,99.9936
9.23,4.8673,99.9938
9.24,4.8716,99.9939
9.25,4.8759,99.9940
9.26,4.8802,99.9941
9.27,4.8844,99.9942
9.28,4.8887,99.9943
9.29,4.8930,99.9944
9.3,4.8973,99.9945
9.31,4.9016,99.9947
9.32,4.9058,99.9948
9.33,4.9101,99.9949
9.34,4.9144,99.9950
9.35,4.9186,99.9950
9.36,4.9229,99.9951
9.37,4.9272,99.9952
9.38,4.9314,99.9953
9.39,4.9357,99.9954
9.4,4.9400,99.9955
9.41,4.9442,99.9956
9.42,4.9485,99.9957
9.43,4.9527,99.9958
9.44,4.9570,99.9958
9.45,4.9613,99.9959
9.46,4.9655,99.9960
9.47,4.9698,99.9961
9.48,4.9740,99.9961
9.49,4.9783,99.9962
9.5,4.9825,99.9963
9.51,4.9868,99.9964
9.52,4.9910,99.9964
9.53,4.9952,99.9965
9.54,4.9995,99.9966
9.55,5.0037,99.9966
9.56,5.0080,99.9967
9.57,5.0122,99.9968
9.58,5.0164,99.9968
9.59,5.0207,99.9969
9.6,5.0249,99.9969
9.61,5.0291,99.9970
9.62,5.0333,99.9970
9.63,5.0376,99.9971
9.64,5.0418,99.9972
9.65,5.0460,99.9972
9.66,5.0502,99.9973
9.67,5.0545,99.9973
9.68,5.0587,99.9974
9.69,5.0629,99.9974
9.7,5.0671,99.9975
9.71,5.0713,99.9975
9.72,5.0755,99.9976
9.73,5.0797,99.9976
9.74,5.0839,99.9977
9.75,5.0882,99.9977
9.76,5.0924,99.9977
9.77,5.0966,99.9978
9.78,5.1008,99.9978
9.79,5.1050,99.9979
9.8,5.1092,99.9979
9.81,5.1134,99.9979
9.82,5.1176,99.9980
9.83,5.1218,99.9980
9.84,5.1259,99.9981
9.85,5.1301,99.9981
9.86,5.1343,99.9981
9.87,5.1385,99.9982
9.88,5.1427,99.9982
9.89,5.1469,99.9982
9.9,5.1511,99.9983
9.91,5.1553,99.9983
9.92,5.1594,99.9983
9.93,5.1636,99.9984
9.94,5.1678,99.9984
